id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount
VmZtY4L7-Us,Why studying bees can teach us about human loneliness | Sarah Kocher | TEDxNewEngland,"Social interactions are essential for the survival and success of many animals, including humans. But how does the brain adapt to support these interactions? By comparing solitary wild bees and those in complex societies, scientists are uncovering fundamental biological patterns that illuminate how the 'social brain' develops and evolves to create the diversity of social life on our planet. 

Sarah is an assistant professor of ecology and evolutionary biology at the Lewis-Sigler Institute for Integrative Genomics at Princeton University. She studies socially variable bees (solitary, social, and socially flexible) to understand the factors that shape the evolution of social behavior. Her lab integrates methods from many different areas of biology, from evolutionary and population genomics to neurobiology and field ecology. 

This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2025-10-19T17:00:40Z,Bees|Behavior|Cooperation|English|Evolution|Neuroscience|Science|Social Interaction|TEDxTalks|[TEDxEID:57417],29,en,en,https://i.ytimg.com/vi/VmZtY4L7-Us/default.jpg,https://i.ytimg.com/vi/VmZtY4L7-Us/hqdefault.jpg,PT15M27S,14875,479,53,public,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,"TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.",,https://yt3.ggpht.com/1gDPO-4YPWFErfn3yQBnv0yxpkmiud1m5CrorApkOqUYdNd9FrZQ9xB9C9VmDt4EsgArnlwqAQc=s800-c-k-c0x00ffffff-no-rj,43700000,245636
gYpq1_omxOg,How accents make language more beautiful | Muftiat Adeyi | TEDxUniversityofMississippi,"Imagine a world where everyone sounds the same, a monaural monotony of voices. Now consider if you’ve ever been impatient when encountering an unfamiliar accent. Do you embrace some accents as desirable while rejecting others? 

Muftiat Oyindamola Adeyi challenges us to embrace a soundscape rich with accents and enjoy them in the same way we enjoy fusion cuisine.  Muftiat Oyindamola Adeyi is a Doctoral Candidate in the English at the University of Mississippi, Graduate Instructor, and Writing Consultant. Muftiat’s work emphasizes the nuanced narratives of womanhood within African and African Diasporic texts, bringing visibility to Africana voices in global literature. 

This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2025-10-18T17:00:53Z,Acceptance|Communication|Curiosity|English|Heritage|Humanities|Humanity|TEDxTalks|[TEDxEID:59859],29,en,en,https://i.ytimg.com/vi/gYpq1_omxOg/default.jpg,https://i.ytimg.com/vi/gYpq1_omxOg/hqdefault.jpg,PT12M40S,45515,641,46,public,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,"TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.",,https://yt3.ggpht.com/1gDPO-4YPWFErfn3yQBnv0yxpkmiud1m5CrorApkOqUYdNd9FrZQ9xB9C9VmDt4EsgArnlwqAQc=s800-c-k-c0x00ffffff-no-rj,43700000,245636
FzDw07RqCSs,Reality is made of illusions—and we need them | Susana Martinez-Conde | TEDxBermuda,"Is what we see indeed reality? How do our perceptions of the world around us really affect our cognition? Susana Martinez-Conde is a neuroscientist, author, and professor at the State University of  New York. Her research bridges perceptual, oculomotor, and cognitive neuroscience, and she is best known for her studies on illusions, eye movements and perception, neurological disorders, and attentional misdirection in stage magic. She has published over a hundred articles in prestigious scientific journals, including Nature, Nature Neuroscience, Neuron, and Proceedings of the National Academy of Science. Her discoveries have been featured in The New York Times, The New Yorker, Wired, and many others. 

She organizes the annual Best Illusion of the Year contest, which inspired her most recent book, Champions of Illusion. Her first book, the bestseller Sleights of Mind, received the Prisma award for the best scientific book of the year. 

This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2025-10-17T17:00:20Z,Brain|English|Interpretation|Perception|Science|TEDxTalks|[TEDxEID:60104],29,en,en,https://i.ytimg.com/vi/FzDw07RqCSs/default.jpg,https://i.ytimg.com/vi/FzDw07RqCSs/hqdefault.jpg,PT17M41S,21786,682,36,public,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,"TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.",,https://yt3.ggpht.com/1gDPO-4YPWFErfn3yQBnv0yxpkmiud1m5CrorApkOqUYdNd9FrZQ9xB9C9VmDt4EsgArnlwqAQc=s800-c-k-c0x00ffffff-no-rj,43700000,245636
UxiiUkQeP4Y,What If Our Approach to Aging Is All Wrong? | Heather Durenberger | TEDxMinneapolis,"We recognize adolescence as a pivotal stage of human development, yet, we overlook an equally disruptive transition - the shift from independence to dependence in later life. Heather Durenberger introduces the Adolescence of Aging, a psychologically distinct stage that we must acknowledge, not only to support our aging loved ones but to prepare for our own inevitable journey. 

Heather Durenberger is a nonprofit strategist, mom of four, and daughter navigating the real-time demands of supporting her parents, while working to shift the national conversation around this overlooked life stage. She is the co-founder of “People in the Squeeze,” a movement and podcast amplifying the voices of those caught between raising children and supporting aging loved ones. Alongside co-founder Jayne Dow Larkin, Heather co-authored “Thriving in Chaos: Navigating the Challenges of Aging Parents,” a best-selling guide to spark change and offer practical support for adult children in the thick of caring for aging parents. A proud Twin Cities resident, Heather brings lived experience, humor, and heart to a topic that touches nearly every family - and deserves far more attention. Heather Durenberger is a nonprofit strategist, mom of four, and daughter navigating the real-time demands of supporting her parents—while working to shift the national conversation around this overlooked life stage. She is the co-founder of People in the Squeeze, a movement and podcast amplifying the voices of those caught between raising children and supporting aging loved ones.

Alongside co-founder Jayne Dow Larkin, Heather co-authored Thriving in Chaos: Navigating the Challenges of Aging Parents, a best-selling guide to spark change and offer practical support for adult children in the thick of caring for aging parents. A proud Twin Cities resident, Heather brings lived experience, humor, and heart to a topic that touches nearly every family—and deserves far more attention. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2025-10-17T16:39:47Z,Aging|Elderly|English|Family|Social Sciences|TEDxTalks|[TEDxEID:63300],29,en,en,https://i.ytimg.com/vi/UxiiUkQeP4Y/default.jpg,https://i.ytimg.com/vi/UxiiUkQeP4Y/hqdefault.jpg,PT18M,1923,64,5,public,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,"TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.",,https://yt3.ggpht.com/1gDPO-4YPWFErfn3yQBnv0yxpkmiud1m5CrorApkOqUYdNd9FrZQ9xB9C9VmDt4EsgArnlwqAQc=s800-c-k-c0x00ffffff-no-rj,43700000,245636
9-nPAI3FKC4,Naslouchejte svému hlasu a nechte ho znít | Katta Chrobokova | TEDxPragueWomen,"Jak se prosadit v konzervativním maskulinním prostředí a přicházet s inovativním způsobem hry na varhany? Jak zařídit, aby byly varhany vnímány jako sexy nástroj 21. století?  Katta získala mezinárodní renomé ve světě klasické hudby jako varhanní virtuoska. Mezi varhaníky je ovšem výjimkou: komponuje vlastní originální skladby, ve kterých často využívá svůj hlas, otevírá nové zvukové světy a ukazuje, jak mohou znít varhany ve 21. století. Jako sólistka vystupovala Katta s předními zahraničními i českými orchestry po celém světě. Loni v létě vystoupila na norském multižánrovém festivalu Olavsfest se svým projektem hned po zpěvačce Björk. Její autorské album teď představuje v rámci svého turné pod názvem Vox Organi, hlas varhan na magických místech. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2025-10-17T16:38:54Z,Acceptance|Art|Czech|Innovation|Music (performance)|Music (topic)|TEDxTalks|[TEDxEID:59150],29,cs,cs,https://i.ytimg.com/vi/9-nPAI3FKC4/default.jpg,https://i.ytimg.com/vi/9-nPAI3FKC4/hqdefault.jpg,PT18M37S,440,6,1,public,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,"TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.",,https://yt3.ggpht.com/1gDPO-4YPWFErfn3yQBnv0yxpkmiud1m5CrorApkOqUYdNd9FrZQ9xB9C9VmDt4EsgArnlwqAQc=s800-c-k-c0x00ffffff-no-rj,43700000,245636
Z072NQHoyew,Why coffee conversations matter | Matias Sørevik | TEDxFredrikstad,"What if the most powerful metric for success came from a cup of coffee?

In this talk, social entrepreneur Matias Sørevik introduces the Coffee Conversation Outcome (CCO) - a new KPI for measuring value in work and life.

Drawing on his experiences and work in social innovation with warmth and humorous anecdotes, Matias shares how genuine human connection inspires inclusion, sparks creativity, and drives leadership.

Get ready to ditch the traditional spreadsheet, embrace dialogue, and unlock the profound impact hidden in your next conversation. Matias Sørevik is passionate about inclusion and social innovation. With a background from the Royal Norwegian Air Force, economic geography, and years in customer relationships and sales, he now helps young people find purpose and direction through workshops and mentoring. As Deputy Chairman at Imprints, he works to build a more inclusive society, while also exploring storytelling and creativity.

At TEDxFredrikstad, Matias will introduce a new KPI: the Coffee Conversation Index (CCO), a reminder that some of the most meaningful progress begins with a simple, human conversation. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2025-10-17T16:38:30Z,English|Ideas|Movement|Social Interaction|Social Sciences|TEDxTalks|[TEDxEID:60394],29,en,en,https://i.ytimg.com/vi/Z072NQHoyew/default.jpg,https://i.ytimg.com/vi/Z072NQHoyew/hqdefault.jpg,PT16M11S,802,9,2,public,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,"TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.",,https://yt3.ggpht.com/1gDPO-4YPWFErfn3yQBnv0yxpkmiud1m5CrorApkOqUYdNd9FrZQ9xB9C9VmDt4EsgArnlwqAQc=s800-c-k-c0x00ffffff-no-rj,43700000,245636
0ACj33ZuRdw,Crescer entre algoritmos | Camila Achutti | TEDxUNISO,"Como a inteligência artificial está moldando a infância, a educação e os sonhos das novas gerações?

Cientista da computação, educadora e mãe, Camila Achutti reflete sobre os impactos invisíveis dos algoritmos — das vontades induzidas à criatividade automatizada — e faz um chamado à ação: repensar a relação entre tecnologia e infância com responsabilidade, afeto e propósito. Camila Achutti é uma estrategista em inclusão digital e empreendedora na educação tecnológica. Fundadora da Mastertech e da ONG SOMAS, trabalha com gigantes como Google, Bayer e Itaú para tornar a tecnologia mais humana e acessível. Especialista em métodos ágeis, IA e inovação, leva formações de tecnologia das salas de Princeton às comunidades ribeirinhas, sempre com a mesma missão: aproximar pessoas e tecnologia. Foi reconhecida pela Forbes, pela ANEFAC, pelo Women in Tech Brasil e pelo prêmio global Women of Vision. É delegada no Women20 do G20, conselheira em empresas e instituições como CI&T, Nuclea e INSPER, e criadora do influente portal “Mulheres na Computação”. Camila transforma a exclusão digital em potência educativa e social, colocando a diversidade no centro da inovação. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2025-10-17T16:38:12Z,Brazilian Technology AI Algorithm Education|TEDxTalks [TEDxEID:60750] Portuguese,29,pt-PT,pt,https://i.ytimg.com/vi/0ACj33ZuRdw/default.jpg,https://i.ytimg.com/vi/0ACj33ZuRdw/hqdefault.jpg,PT17M48S,349,6,2,public,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,"TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.",,https://yt3.ggpht.com/1gDPO-4YPWFErfn3yQBnv0yxpkmiud1m5CrorApkOqUYdNd9FrZQ9xB9C9VmDt4EsgArnlwqAQc=s800-c-k-c0x00ffffff-no-rj,43700000,245636
fsZYkl2eZE4,The Choice That Changed Everything  | Vinitha Koshy | TEDxAJCE,"Who really knows what’s best for you? Actress Vinitha Koshy reveals how trusting her own voice—despite doubts and warnings—became the turning point of her career. Choosing to take on the bold role in Ottamuri Velicham not only earned her acclaim but also taught her the power of self-trust. Her talk reminds us that silence brings clarity, and true change begins when we choose for ourselves Vinitha Koshy is an acclaimed Indian actress and former pediatric counsellor known for her authentic, emotionally resonant performances. She first captured hearts as the endearing Lovely Miss in Aanandam and went on to deliver a deeply moving performance in Ottamuri Velicham, which earned her the Kerala State Film Award.

Before cinema, Vinitha worked as a pediatric counsellor—healing through words and compassion. Today, she channels that same empathy into her craft, bringing honesty and depth to every role she portrays. With her natural screen presence and understated grace, Vinitha continues to redefine storytelling—proving that true emotion needs no theatrics, only truth. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2025-10-17T16:37:54Z,Career|Change|Empowerment|Entertainment|Life|Malayalam|TEDxTalks|[TEDxEID:61391],29,en,ml,https://i.ytimg.com/vi/fsZYkl2eZE4/default.jpg,https://i.ytimg.com/vi/fsZYkl2eZE4/hqdefault.jpg,PT15M4S,1493,25,1,public,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,"TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.",,https://yt3.ggpht.com/1gDPO-4YPWFErfn3yQBnv0yxpkmiud1m5CrorApkOqUYdNd9FrZQ9xB9C9VmDt4EsgArnlwqAQc=s800-c-k-c0x00ffffff-no-rj,43700000,245636
c0mOukMBQUw,Organisation and tidiness | Abdullah Mohammed | TEDxTarneit Youth,"My idea is about why it’s important to keep things organised and tidy. Being tidy has helped me a lot, it helps me stay focused, be responsible, and stay calm. When I’m organised, I don’t have to worry about extra stuff in my mind. Keeping things neat
helps me relax and feel ready for anything. I want to share this message so other kids can feel calm and do their best too! Abdullah is a student at Barayip Primary School. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2025-10-17T16:37:20Z,Behavior|Choice|English|Happiness|Health|Life Hack|Positive Thinking|Self improvement|TEDxTalks|[TEDxEID:62248],29,en,en,https://i.ytimg.com/vi/c0mOukMBQUw/default.jpg,https://i.ytimg.com/vi/c0mOukMBQUw/hqdefault.jpg,PT1M53S,433,6,1,public,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,"TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.",,https://yt3.ggpht.com/1gDPO-4YPWFErfn3yQBnv0yxpkmiud1m5CrorApkOqUYdNd9FrZQ9xB9C9VmDt4EsgArnlwqAQc=s800-c-k-c0x00ffffff-no-rj,43700000,245636
sk4iTkZrCio,Racism is destroying the world | Amogh-Sai Keshannagari | TEDxTarneit Youth,"Racism is one of the worst problems right now, people get hurt from it physically and mentally. I want to communicate that all we need to do is smile, and make someone's day. A smile can spread across the world. Amogh-Sai is a student at Warreen Primary School. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",2025-10-17T16:37:12Z,Children|Discrimination|English|Global Issues|Global issues|Positive Thinking|Prejudice|Racism|TEDxTalks|[TEDxEID:62248],29,en,en,https://i.ytimg.com/vi/sk4iTkZrCio/default.jpg,https://i.ytimg.com/vi/sk4iTkZrCio/hqdefault.jpg,PT2M57S,350,9,0,public,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,"TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.",,https://yt3.ggpht.com/1gDPO-4YPWFErfn3yQBnv0yxpkmiud1m5CrorApkOqUYdNd9FrZQ9xB9C9VmDt4EsgArnlwqAQc=s800-c-k-c0x00ffffff-no-rj,43700000,245636
