id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount,is_transcript_available,transcript
jPqSs7MXKLg,Importance of Curd Rice #Comedy #Shorts #StandupComedy,,2025-08-13T09:03:52Z,,23,en,en-IN,https://i.ytimg.com/vi/jPqSs7MXKLg/default.jpg,https://i.ytimg.com/vi/jPqSs7MXKLg/hqdefault.jpg,PT2M25S,26686,1353,28,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,"No no no say the show will continue but like a small break because uh this this is a very important issue is a social think of it of that uh mukesh ad in between the movie is a very serious issue okay serious issue because these people who don't like kurd rice here I have to explain to them the importance of k rice typically I explain them to north Indians and all who come here but here I'm scared that hyderabadis are here who don't like kur I'll explain to you ma'am so that you'll understand better see worldwide you've traveled abroad also you've seen tasted different different kinds of cuisine right I'll tell you worldwide cuisine has comes in six flavors six flavors even Indian cuisine is no matter which part of the country it is it's called shedruchi shedrui please don't sheduchi six flavors of Indian cuisine you heard the Sanskrit word shedruchi six flavors are spicy salt sweet sour bitter pungent these are the six flavors of all food now Telugu food is also has six flavors it is spicy super spicy super duper spicy, explosive, atomic, and nuclear. Now, when you eat our food, right, it has a built-in GPS navigation system. Once you eat the food, you can tell exactly in which part of the body. But occasionally due to network issues, the food can be one side, the pain will come from some other side. GPS problems will be there. In Ayurvedic times when there were no MRIs and X-rays, they used to make people eat our Telugu food. Based on the pain, they can tell whether it's an answer or a cancer. That's how effective it is. But the thing is when you eat our super spicy food, right, all the intestines go into a war zone. Every body part is pushing it. You'll hear all kinds of noises from coming from inside because they're unable to handle it. And if Yeah, that's true. And that's why if you ever seen any war documentary then there's a big battle ends they send a white ambulance to give first aid that white ambulance is cur [Applause] but occasionally you will meet some hardcore Telugu people who will not even let that white ambulance to come unless there's a red light blinking on top curd rice with mango pickle. So please go and eat cod ice man."
xmif_Nwc5ME,Cardamom #Comedy #Shorts,,2023-09-11T05:27:38Z,,23,en,en-IN,https://i.ytimg.com/vi/xmif_Nwc5ME/default.jpg,https://i.ytimg.com/vi/xmif_Nwc5ME/hqdefault.jpg,PT56S,32041,2079,67,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,laziest way to ruin any dish is to put an unpeeled cardamom pot in it how difficult is it to remove a cardamom shell what is this attachment to the Pod you may find boneless mutton Biryani but you will not find podless veg Biryani the only thing worse than Kebab mehadi is if only hundreds of years ago our Cooks had removed the cardamom shell and dissolved the cardamom seeds into any dish they made the Europeans would never have figured out what gives our dishes such great Aroma they would have not invaded the Indian Kingdoms in search of the cardamom and this video would not have been in English unpeeled cardamom is the mom of all problems you're eating something nice at some place nice with someone nice and suddenly you bite into a cardamom shell you can't spit it you can't swallow it and some people are fine with it they say Chuck it into your cheek and it will give your mouth a nice Aroma no thank you I brush my teeth twice a day and I don't smoke or drink I don't need to hide any smell with the elaichi in the mouth like an odonil in a toilet
t6f_kNvQ6eU,Spoke to Grandma in Seance #comedyshorts,,2025-07-28T05:18:38Z,,23,en,en-IN,https://i.ytimg.com/vi/t6f_kNvQ6eU/default.jpg,https://i.ytimg.com/vi/t6f_kNvQ6eU/hqdefault.jpg,PT1M31S,13103,436,11,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,"But then I discovered something called seianis. Have you heard about canceans? >> Seance some people have heard seianis where this there's this thing plank or they they call it where vija board. Have you heard about this? Huh? >> Vja board and that's a weird word nobody pronounces correctly. Some people call it plant shelance is essentially where there's a medium who will communicate with the dead and they have a scrabble board. They have a scrabble board and that words will move and you can communicate. So I thought maybe I'll communicate with somebody but just to see if it is working correctly or not. I went to that lady and said okay let's communicate with my grandmom. My grandmother who passed away I loved her a lot. So let's talk to my grandmom just to see uh if it's working correctly then we can have other have a list of people who successfully did things in life. We can always go to them. And then I first question I asked my grandmother where is our family treasure? Where is our family treasure? And slowly the board the letters move N. Oh, >> I was wondering >> she will not tell me after that thought also so much anger against me and slowly it continued to move. T H I N G nothing nothing that I was shocked to realize that after death my grandmother learned English. [Applause]"
NkHH1zXw87g,British Audience #Comedy #Shorts,,2025-04-16T10:06:10Z,,23,en,en-IN,https://i.ytimg.com/vi/NkHH1zXw87g/default.jpg,https://i.ytimg.com/vi/NkHH1zXw87g/hqdefault.jpg,PT1M2S,20458,1075,12,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,"[Laughter] Wow. Wow. Wow. And mayo, is there international audience also in the show? Yeah. Yeah. Wow. Wow. Very good, sir. Thank you so much. Welcome to the show, Mayo. How did you discover this show, sir? Uh, it's on an app. On an app. Okay. You're just searching. What's the cheapest thing I'll book my show today? And my face popped up. Thank you, sir. Appreciate. May I know which country are you coming from, sir? Uh, England. England. Oh, our former colonizers. You are the reason this show is in English. [Applause] Thank you. Thank you. Two hours later. And a special round of applause to the English gentleman who came all the way to see how the former colony is doing. Sir, we are quite happy. You are welcome to visit once in a while."
c1BGLYVpqk8,Ten years of comedy #standupcomedy #shorts,,2024-10-01T06:37:50Z,,23,en,en-IN,https://i.ytimg.com/vi/c1BGLYVpqk8/default.jpg,https://i.ytimg.com/vi/c1BGLYVpqk8/hqdefault.jpg,PT1M1S,927607,23206,209,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,my name is Sai Kiran I've been doing stand-up comedy for 10 years yeah or as my dad calls it the decade of disappointment or as my mom calls it the decade of embarrassment they're really confused wiches which because I tell a lot of jokes about my mom and my dad I tell a lot of jokes about my parents because they are the two people in the whole world who will never sue me it's not that they don't want to it's just that even if they do they will have to pay the lawyer fees for both sides fairly sorted that way but because I tell a lot of jokes about my mom and my dad many kids who see my show bring their parents to a show to show them we are not this bad and sometimes parents see my videos and bring their children to the show to show them we are not that bad I bring fam's clothes
rfTcgKKJGRo,Why teacher scolded me? #standupcomedy #comedyshorts,,2024-10-15T06:21:56Z,,23,en,en-IN,https://i.ytimg.com/vi/rfTcgKKJGRo/default.jpg,https://i.ytimg.com/vi/rfTcgKKJGRo/hqdefault.jpg,PT1M1S,98092,2818,30,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,one day she scolded me in front of the entire assembly because my shoelace knot was undone she shouted in front of the assembly are you stupid or what do you know how to tie the knot of a shoelace do you know the symbol of a civilized man is knowing how to tie a knot after we harness the fire before we invented the wheel we learned how to tie a knot this is what happens when social teacher is made to substitute as Sports teacher I felt sad angry embarrassed but she taught me she taught me how to TI knot single knot double knot Guardian knot and finally like at the time I was a little angry but now I'm thankful for her because nowadays no teacher will dare to teach a kid how to tie a knot because if that kid becomes sad and does something stupid the teacher will be blamed for abetment some of you are giggling for it others are thinking it's not a joke no it's a not joke
WIHeGn8BOD8,Parents pushing for Marriage? #standupcomedy #comedyshorts,,2024-09-17T13:38:04Z,,23,en,en-IN,https://i.ytimg.com/vi/WIHeGn8BOD8/default.jpg,https://i.ytimg.com/vi/WIHeGn8BOD8/hqdefault.jpg,PT56S,98148,3919,53,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,all the people in the world two people who really are concerned about your well-being and your wedding is parents constantly but have you ever wondered why are parents so concerned about your wedding constantly pushing into wedding get married get married get married nagging you irritating you the thing is the reason why parents do that that if you are somebody who's delaying marriage don't want to marry whatever your reasons everybody around you all the relatives and all right they will start wondering why are they so against marriage what horrible marriage did they witness because if you don't like marriage that you must have you have a negative opinion about marriage you must have witnessed a horrible marriage and the only marriage we all witness ringside view is our parents marriage so you don't want to marry it's a judgment on your parents marriage that's why they push on you please marry please marry please marry [Applause]
15Cxxo3Yvgk,Dad’s Fingerprints #Comedy #Shorts,,2024-06-27T07:30:02Z,,23,en,en-IN,https://i.ytimg.com/vi/15Cxxo3Yvgk/default.jpg,https://i.ytimg.com/vi/15Cxxo3Yvgk/hqdefault.jpg,PT1M1S,19724,906,8,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,my dad is getting older I think wiser he thinks now my dad is now so old like we discovered that his fingerprints are getting worn out we learned this when he went to the bank and that Adar biometric fingerprint biometric could not read his fingerprints so I'm encouraging my dad to get into burglaries andari killings but need not worry um outside the bank under the tree there was a fortune teller who could clearly read my dad's fingerprints no problem at all he could see them and tell my dad's past present and future bank balance minus 100 rupees and my dad was very happy and he told me see our ancient wisdom is much better than your technology why are you saying our ancient wisdom your technology we neither of us contributed to either of you [Applause]
KAmIut7FLjo,Relationship Status #Comedy #Shorts,,2024-07-31T07:29:59Z,,23,en,en-IN,https://i.ytimg.com/vi/KAmIut7FLjo/default.jpg,https://i.ytimg.com/vi/KAmIut7FLjo/hqdefault.jpg,PT59S,101019,4785,40,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,I also shifted to Facebook and realized Facebook asks all kinds of personal questions like what is your relationship status and to answer that question it gives you nine different options I never knew there were nine possible relationship statuses I only knew of one available nine different options are single in a relationship engaged married in a open relationship it's complicated separated divorced and widowed now I was a little confused about my exact status so I selected all of the above because the way I look at it I'm single wanting to be in a relationship hoping to get engaged eventually get married into an open relationship which could get complicated because I don't want to be separated divorce we
9woQXRcn7tw,Dark Food Joke #Comedy #Shorts,,2024-05-21T06:55:55Z,,23,en,en-IN,https://i.ytimg.com/vi/9woQXRcn7tw/default.jpg,https://i.ytimg.com/vi/9woQXRcn7tw/hqdefault.jpg,PT22S,15429,503,12,public,UC-VPf3yXgkbjH6PFKQBblYg,Saikiran,"I am a Standup Comedian and these are videos of jokes which I thought were funny when I wrote them. If you also find them funny please like, share and subscribe.",IN,https://yt3.ggpht.com/ytc/AIdro_nHz3cj76WlTIXGexBbg_Rq0ABuadXqUgqdkCxR3_NauA=s88-c-k-c0x00ffffff-no-rj,478000,97,True,for me food is an amazing thing but I love food and I want to explore and experiment with different different Cuisines I love experimenting with different food once I went to a authentic Chinese food festival authentic Chinese food festival to try out their Cuisine my curiosity killed the cat
