videoId,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail,duration,viewCount,likeCount,commentCount,privacyStatus
bshe96X5KkA,AI Course for Developers - Build AI-Powered Apps,"❤️ Join this channel to get access to perks:
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA/join

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/",2025-08-26T12:30:47Z,"ai course, learn ai, ai course for developers, ai engineering, generative ai, ai developer, open ai, openai, ai for beginners, ai full course, large language models, llms, code with mosh, programming with mosh, mosh hamedani, web development, programming",27,en,en,https://i.ytimg.com/vi/bshe96X5KkA/default.jpg,PT1M6S,20282,717,11,public
PtETUYa3i2Q,AI Course for Developers – Build AI-Powered Apps with React,"This AI course teaches you how to build AI-powered apps with React & Express. You’ll learn about LLMs, prompt engineering, and full-stack AI integration.

🚀 Want to dive deeper?
- Get the full course: https://mosh.link/build-ai-powered-apps
- Subscribe for more videos like this: https://goo.gl/6PYaGF

💡 Related tutorials 
https://youtu.be/SqcY0GlETPk?si=ALGbprFSjzSnVfms
https://youtu.be/d56mG7DezGs?si=NamrMlwEwC99MIfQ

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/

📖 Chapters 
0:00:00 Welcome
0:01:26 Prerequisites
0:02:21 What You’ll Learn
0:06:15 Setting Up Your Development Environment
0:07:12 Introduction to AI Models
0:07:48 Rise of AI Engineering
0:11:49 What Are Large Language Models?
0:16:12 What Can You Do With Language Models?
0:18:37 Understanding Tokens
0:21:40 Counting Tokens
0:25:43 Choosing the Right Model
0:30:45 Understanding Model Settings
0:39:32 Calling Models
0:47:07 Setting Up a Modern Full-Stack Project
0:48:19 Setting Up Bun
0:49:51 Creating the Project Structure
0:52:39 Creating the Backend
0:59:18 Managing OpenAI API Key
1:04:33 Creating the Frontend
1:07:18 Connecting the Frontend and Backend
1:12:31 Running Both Apps Together
1:15:55 Setting Up TailwindCSS
1:19:30 Setting Up ShadCN/UI
1:26:00 Formatting Code With Prettier
1:31:02 Automating Pre-Commit Checks With Husky
1:37:53 Project: Building a ChatBot
1:38:22 Building the Backend
1:38:58 Building the Chat API
1:45:25 Testing the API
1:47:22 Managing Conversation State
1:53:44 Input Validation
1:59:33 Error Handling
2:01:52 Refactoring the Chat API
2:04:00 Extracting Conversation Repository
2:09:21 Extracting Chat Service
2:16:05 Extracting Chat Controller
2:20:03 Extracting Routes
2:24:55 Building the Frontend

#ai #aiappdevelopment #aicourses",2025-08-25T12:30:06Z,"ai course, learn ai, ai course for developers, ai engineering, react js, react.js, full-stack development, code with mosh, programming with mosh, mosh hamedani, large language models, llm, ai, genai, reactjs, generative ai, llms, gen ai, artificial intelligence, ai engineer, ai full course, ai for beginners, openai, ai developer, ai applications, programming, chatbots",27,en,en,https://i.ytimg.com/vi/PtETUYa3i2Q/default.jpg,PT2H25M40S,75179,2686,186,public
V7TMkZH1AkM,A Practical AI Course for Developers is Coming...,"I’ve been working on something special — can’t wait to share it with you soon. Watch this space.

❤️ Join this channel to get access to perks:
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA/join

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/",2025-08-18T23:46:05Z,"react tutorial, react course, ai engineer, ai, learn ai, ai course, software engineering, code with mosh, programming with mosh, mosh hamedani",27,en,en,https://i.ytimg.com/vi/V7TMkZH1AkM/default.jpg,PT51S,31733,1618,159,public
h4FRpDGuJyI,"Microsoft laid off 6,000 people… but why?","Everyone’s talking about the layoffs — but no one’s asking the right questions. This goes way deeper than AI. Let’s break it down.

Level up your coding skills: https://codewithmosh.com

✋ Stay connected:
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/",2025-05-20T11:30:41Z,"layoffs, microsoft layoffs, tech industry layoffs, layoffs in tech, tech layoffs, intel layoffs, amazon layoffs, tech job, tech, tech jobs, navigating layoffs, code with mosh, programming with mosh, mosh hamedani, artificial intelligence, ai jobs, ai job loss",27,en,en,https://i.ytimg.com/vi/h4FRpDGuJyI/default.jpg,PT3M53S,92906,4327,377,public
EWd3_I4X32g,Spring Boot Project: Build a REST API for an E-commerce Platform,"Learn how to build a REST API for an e-commerce platform. Perfect for Java developers looking to enhance their skills with hands-on Spring Boot projects!

🚀 Want to dive deeper?
- Get the full course: https://mosh.link/spring-boot-api-development
- Subscribe for more videos like this: https://goo.gl/6PYaGF

💡 Related tutorials 
https://youtu.be/gJrjgg1KVL4?si=bgsORKFCW0utvTEZ
https://youtu.be/eIrMbAQSU34?si=Uw0R6GZ4DM0sanYR
https://youtu.be/7S_tz1z_5bA?si=RvQs6awyciFtDeel

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/

📖 Table of Content
0:00:00 Welcome
0:01:31 What You’ll Learn
0:03:41 Prerequisites
0:04:59 Starter Project
0:09:07 How to Take This Course
0:10:29 Spring MVC
0:11:19 How the Web Works
0:16:31 What is Spring MVC?
0:18:09 Creating a Controller
0:22:23 View Templates
0:25:50 Passing Data to Views
0:27:49 Building an API
0:32:18 Spring Boot Course
0:32:51 RESTful APIs
0:33:49 Creating Your First RESTful API
0:37:49 Calling APIs with Postman
0:40:25 Creating Dynamic Routes
0:43:54 Setting HTTP Status Codes
0:46:56 Data Transfer Objects
0:51:47 Mapping Objects Using MapStruct
0:56:43 Customizing Response Data
1:01:45 Extracting Query Parameters
1:09:58 Exercise: Building Product Endpoints
1:20:17 Extracting Request Headers
1:23:07 Extracting Request Body
1:26:25 Creating Resources
1:35:52 Updating Resources
1:41:38 Deleting Resources
1:43:31 Handling Action-Based Updates
1:48:25 Exercise: Building a CRUD API
1:59:40 Spring Boot Course

#springboot #java #backend",2025-04-16T21:49:36Z,"spring boot project, spring boot crash course, spring boot 3.0, spring boot advanced, mosh hamedani, programming with mosh, code with mosh, spring boot, java, spring boot full course, spring boot tutorial, spring framework",27,en,en,https://i.ytimg.com/vi/EWd3_I4X32g/default.jpg,PT2H17S,147529,2720,127,public
M5B-xBmznok,Part 2 of my Spring Boot course dropping soon!,"❤️ Join this channel to get access to perks:
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA/join

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/",2025-04-16T12:30:33Z,,27,en,en,https://i.ytimg.com/vi/M5B-xBmznok/default.jpg,PT45S,18818,669,10,public
Iqz7BWePOys,How Spring Boot Can Be A Game Changer For Your Career,,2025-03-12T13:48:34Z,"what is spring boot, spring boot tutorial, spring boot, getting started with spring boot, what is spring mvc, spring vs spring boot, spring boot java, java frameworks, programming, java spring boot, introduction to spring boot, what is spring boot in java, programming with mosh, code with mosh, mosh hamedani, spring boot in 1 minute, learn spring boot, spring boot vs spring framework",27,en,en,https://i.ytimg.com/vi/Iqz7BWePOys/default.jpg,PT2M50S,20653,1925,19,public
v73-ps01c5w,How Spring Boot Can Be A Game Changer For Your Career,"Learn how Spring Boot simplifies Java development and why it's a must-have skill for developers!

🚀 Want to build your first Spring Boot application? Watch my tutorial here: https://youtu.be/gJrjgg1KVL4?si=iyduMaeArvy2xlJg

❤️ Join this channel to get access to perks:
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA/join

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/

#springboot #java #backend",2025-03-04T12:01:21Z,"what is spring boot, spring boot tutorial, spring boot, getting started with spring boot, what is spring mvc, spring vs spring boot, spring boot java, java frameworks, programming, java spring boot, introduction to spring boot, what is spring boot in java, programming with mosh, code with mosh, mosh hamedani, spring boot in 1 minute, learn spring boot, spring boot vs spring framework",27,en,en,https://i.ytimg.com/vi/v73-ps01c5w/default.jpg,PT4M5S,75339,1856,94,public
gJrjgg1KVL4,Spring Boot Tutorial for Beginners [2025],"Master Spring Boot and build amazing backends with Java! 🚀 This beginner-friendly tutorial covers everything you need to learn Spring Boot 3.

🚀 Want to dive deeper?
- Get the full course: https://mosh.link/spring-boot-fundamentals
- Subscribe for more videos like this: https://goo.gl/6PYaGF

💡 Related tutorials 
https://youtu.be/EWd3_I4X32g?si=IbbN5SMYQrQJe-ek

👉 Interested in trying IntelliJ IDEA Ultimate? https://jb.gg/intellij-idea-for-mosh
👉 JetBrains has given me a 100% discount code! Use 'Spring_with_Mosh' to enjoy IntelliJ IDEA Ultimate for 3 months completely free! Redeem it here until April 1, 2026: https://jb.gg/redeem

💡 Related tutorials 
https://youtu.be/eIrMbAQSU34?si=Uw0R6GZ4DM0sanYR
https://youtu.be/7S_tz1z_5bA?si=RvQs6awyciFtDeel

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/

📖 Table of Content
0:00:00 Welcome
0:01:12 Prerequisites
0:02:02 Course Structure
0:03:44 Source Code
0:05:01 Getting Started
0:05:48 Introduction to Spring Boot
0:08:30 Setting Up the Development Environment
0:11:55 Creating a Spring Boot Project
0:15:38 Understanding the Project Structure
0:19:37 Dependency Management
0:27:28 Building Your First Spring Controller
0:31:41 The Ultimate Spring Boot Course 
0:32:16 Running Spring Boot Applications
0:34:40 Debugging Spring Boot Applications
0:40:34 Automatic Restarts
0:44:12 Configuring Application Properties
0:46:49 Dependency Injection
0:47:48 What is Dependency Injection?
0:55:30 Constructor Injection
1:00:25 Setter Injection
1:03:05 The Spring IoC Container
1:05:58 Configuring Beans Using Annotations
1:10:59 What's Next 

#springboot #java #backend",2025-02-26T12:30:48Z,"spring boot tutorial, spring boot tutorial for begineers, spring boot, java spring tutorial, java spring boot, web development, java, spring boot full course, learn spring boot, spring boot course, code with mosh, spring boot for beginners, spring boot 3, spring boot 3.0, mosh hamedani, programming with mosh, programming, spring framework, java springboot, java backend, java web development, java spring, spring boot basics, spring boot crash course",27,en,en,https://i.ytimg.com/vi/gJrjgg1KVL4/default.jpg,PT1H11M22S,619552,11052,409,public
lvg8pBJ2kFg,You asked for it. It’s finally happening!,"❤️ Join this channel to get access to perks:
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA/join

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/",2025-02-18T12:30:46Z,"spring boot tutorial, spring boot, spring boot course, spring boot tutorial for begineers, spring boot for beginners, spring boot 3, programming with mosh, code with mosh, mosh hamedani, programming, web development",27,en,en,https://i.ytimg.com/vi/lvg8pBJ2kFg/default.jpg,PT1M15S,34626,1175,148,public
