videoId,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail,duration,viewCount,likeCount,commentCount,privacyStatus,transcript,is_transcript_available
bshe96X5KkA,AI Course for Developers - Build AI-Powered Apps,"❤️ Join this channel to get access to perks:
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA/join

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/",2025-08-26T12:30:47Z,"ai course, learn ai, ai course for developers, ai engineering, generative ai, ai developer, open ai, openai, ai for beginners, ai full course, large language models, llms, code with mosh, programming with mosh, mosh hamedani, web development, programming",27.0,en,en,https://i.ytimg.com/vi/bshe96X5KkA/default.jpg,PT1M6S,19499.0,696.0,11.0,public,"[Music] AI is everywhere, but have you actually built something with it? In this course, you will learn how to build real AI powered features like the ones you see in apps from Google, Amazon, and beyond. We'll start by building a solid foundation, understanding language models, tokens, context windows, choosing the right models, model settings, and prompt engineering. Then we'll build projects starting with a chatbot that can answer questions about an imaginary theme park, helping visitors find what they need faster. Next, we'll create a tool that analyzes customer feedback and delivers clear, actionable insights so users can make shorter decisions in seconds. And finally, we'll wrap up with powerful open-source integrations you can run anywhere. Along the way, you will learn clean architecture principles, follow best practices, and work with modern tools like Bun, Tailwind, Shatian, Prisma, and Olama. By the end, you will have the skills and confidence to build AI powered apps people actually want to use. Watch the full video on my YouTube channel.",True
PtETUYa3i2Q,AI Course for Developers – Build AI-Powered Apps with React,"This AI course teaches you how to build AI-powered apps with React & Express. You’ll learn about LLMs, prompt engineering, and full-stack AI integration.

🚀 Want to dive deeper?
- Get the full course: https://mosh.link/build-ai-powered-apps
- Subscribe for more videos like this: https://goo.gl/6PYaGF

💡 Related tutorials 
https://youtu.be/SqcY0GlETPk?si=ALGbprFSjzSnVfms
https://youtu.be/d56mG7DezGs?si=NamrMlwEwC99MIfQ

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/

📖 Chapters 
0:00:00 Welcome
0:01:26 Prerequisites
0:02:21 What You’ll Learn
0:06:15 Setting Up Your Development Environment
0:07:12 Introduction to AI Models
0:07:48 Rise of AI Engineering
0:11:49 What Are Large Language Models?
0:16:12 What Can You Do With Language Models?
0:18:37 Understanding Tokens
0:21:40 Counting Tokens
0:25:43 Choosing the Right Model
0:30:45 Understanding Model Settings
0:39:32 Calling Models
0:47:07 Setting Up a Modern Full-Stack Project
0:48:19 Setting Up Bun
0:49:51 Creating the Project Structure
0:52:39 Creating the Backend
0:59:18 Managing OpenAI API Key
1:04:33 Creating the Frontend
1:07:18 Connecting the Frontend and Backend
1:12:31 Running Both Apps Together
1:15:55 Setting Up TailwindCSS
1:19:30 Setting Up ShadCN/UI
1:26:00 Formatting Code With Prettier
1:31:02 Automating Pre-Commit Checks With Husky
1:37:53 Project: Building a ChatBot
1:38:22 Building the Backend
1:38:58 Building the Chat API
1:45:25 Testing the API
1:47:22 Managing Conversation State
1:53:44 Input Validation
1:59:33 Error Handling
2:01:52 Refactoring the Chat API
2:04:00 Extracting Conversation Repository
2:09:21 Extracting Chat Service
2:16:05 Extracting Chat Controller
2:20:03 Extracting Routes
2:24:55 Building the Frontend

#ai #aiappdevelopment #aicourses",2025-08-25T12:30:06Z,"ai course, learn ai, ai course for developers, ai engineering, react js, react.js, full-stack development, code with mosh, programming with mosh, mosh hamedani, large language models, llm, ai, genai, reactjs, generative ai, llms, gen ai, artificial intelligence, ai engineer, ai full course, ai for beginners, openai, ai developer, ai applications, programming, chatbots",27.0,en,en,https://i.ytimg.com/vi/PtETUYa3i2Q/default.jpg,PT2H25M40S,71159.0,2594.0,180.0,public,,False
V7TMkZH1AkM,A Practical AI Course for Developers is Coming...,"I’ve been working on something special — can’t wait to share it with you soon. Watch this space.

❤️ Join this channel to get access to perks:
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA/join

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/",2025-08-18T23:46:05Z,"react tutorial, react course, ai engineer, ai, learn ai, ai course, software engineering, code with mosh, programming with mosh, mosh hamedani",27.0,en,en,https://i.ytimg.com/vi/V7TMkZH1AkM/default.jpg,PT51S,31458.0,1616.0,159.0,public,"[Music] Hey friends, I've got something exciting to share. I'm working on a brand new course where we'll build AI powered apps together step by step. We'll start with the basics like what large language models are and how they work, and then jump straight into projects. You'll build a chatbot that can answer real questions, a tool that makes sense of customer feedback in seconds, and even learn how to run open-source models right on your own machine. And don't worry, this isn't one of those watch me paste prompts into chat GPT kind of courses. You'll be coding along with me, learning the techniques, best practices, and modern tools you can actually use in your own applications. If you have been curious about AI and want to add it to your developer toolkit, this course is for you. I can't wait to share it with you. It's coming very soon.",True
h4FRpDGuJyI,"Microsoft laid off 6,000 people… but why?","Everyone’s talking about the layoffs — but no one’s asking the right questions. This goes way deeper than AI. Let’s break it down.

Level up your coding skills: https://codewithmosh.com

✋ Stay connected:
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/",2025-05-20T11:30:41Z,"layoffs, microsoft layoffs, tech industry layoffs, layoffs in tech, tech layoffs, intel layoffs, amazon layoffs, tech job, tech, tech jobs, navigating layoffs, code with mosh, programming with mosh, mosh hamedani, artificial intelligence, ai jobs, ai job loss",27.0,en,en,https://i.ytimg.com/vi/h4FRpDGuJyI/default.jpg,PT3M53S,92541.0,4319.0,377.0,public,"Microsoft just laid off 6,000 employees and the internet has always freaked out. You have probably seen the headlines. AI is replacing all the developers. Tech is dead. But before we join the panic, let's take a breath and look at what's actually happening. First, let's get something straight. Tech layoffs like this aren't new. They have been happening for years, long before AI was a buzzword. Let me give you a quick history lesson. In 2014, Microsoft laid off 18,000 people after buying Nokia. In 2015, HP cut 30,000 jobs during a big restructuring. In 2016, Intel let go of 12,000 employees as it moved away from PCs. IBM, Yahoo, and plenty of others have done the same. Companies change direction. They restructure. They cut costs. Layoffs like these are about strategy, not science fiction. Take Intel for example. When they cut those 12,000 jobs in 2016, they weren't just shrinking. They were moving into new areas. cloud computing and smart devices. And over time, that shift created thousands of new jobs in those gross sectors. That's what a pivot looks like. Letting go in one area to reinvest in another. But of course, social media clowns turn it into something bigger than it really is. They didn't waste a second before yelling AI took their jobs, developers are finished. And it's not just them. Plenty of news outlets do the same. Spin fear into clicks because fear gets attention. They're not trying to explain what's actually happening. They're just chasing views. Honestly, it reminds me of the vaccine panic a few years ago. Remember that? For a while, everything was the vaccine's fault. Heart attacks, car crashes, even bad weather. Someone stubbed their toe, must be the vaccine. Now, it's AI's turn. Something goes wrong in tech, blame AI. Production goes down, that's AI, too. Same fear, different label. Here's the truth. The tech industry is still growing. Companies still need engineers, not just people who know how to write code. I'm talking about real engineers. People who can think clearly, write clean, maintainable code, understand how systems behave, and solve real world problems. With AI in the picture, we're entering a new chapter of software development. We'll be building tools and platforms we can't even imagine today. And guess what? Those tools will create new challenges. And those challenges will need you, thoughtful, capable engineers to solve them. If you want to keep growing in the industry and stay employable, you need real skills, solid fundamentals, deep understanding of how things work under the hood. Unfortunately, VIP coding has become a trend lately. You have seen it. People pasting prompts into an LLM and calling themselves engineers. They don't understand data structures, design patterns, system design, security, or even how to debug. It's like trying to fly a plane with no idea how the controls work. And here's the thing, companies aren't going to pay you for vibes. They're going to pay you for what you actually know. The demands on engineers are going up, not down. Back in the 80s or '90s, most dev job listings focus on knowing one language, a bit of databases, maybe some basic algorithms. But today, you have to know multiple languages, frameworks, CI/CD, cloud platforms, architecture, APIs, security, automated testing, the list goes on. And tomorrow it'll be even more. If all we can do is copy paste code from a chatbot without understanding how it works, you're not just replaceable. You are irrelevant. So if all the noise lately has left you feeling anxious, don't let it. Don't let the social media clowns get to you. Don't let fear-based headlines distract you. Stay curious, keep learning, keep growing. The future doesn't belong to people yelling on the internet. It belongs to the ones who show up, level up, and keep building. If this gave you some clarity, please share it to help others. Now, let's get back to work and build something great. I will see you in the next one.",True
EWd3_I4X32g,Spring Boot Project: Build a REST API for an E-commerce Platform,"Learn how to build a REST API for an e-commerce platform. Perfect for Java developers looking to enhance their skills with hands-on Spring Boot projects!

🚀 Want to dive deeper?
- Get the full course: https://mosh.link/spring-boot-api-development
- Subscribe for more videos like this: https://goo.gl/6PYaGF

💡 Related tutorials 
https://youtu.be/gJrjgg1KVL4?si=bgsORKFCW0utvTEZ
https://youtu.be/eIrMbAQSU34?si=Uw0R6GZ4DM0sanYR
https://youtu.be/7S_tz1z_5bA?si=RvQs6awyciFtDeel

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/

📖 Table of Content
0:00:00 Welcome
0:01:31 What You’ll Learn
0:03:41 Prerequisites
0:04:59 Starter Project
0:09:07 How to Take This Course
0:10:29 Spring MVC
0:11:19 How the Web Works
0:16:31 What is Spring MVC?
0:18:09 Creating a Controller
0:22:23 View Templates
0:25:50 Passing Data to Views
0:27:49 Building an API
0:32:18 Spring Boot Course
0:32:51 RESTful APIs
0:33:49 Creating Your First RESTful API
0:37:49 Calling APIs with Postman
0:40:25 Creating Dynamic Routes
0:43:54 Setting HTTP Status Codes
0:46:56 Data Transfer Objects
0:51:47 Mapping Objects Using MapStruct
0:56:43 Customizing Response Data
1:01:45 Extracting Query Parameters
1:09:58 Exercise: Building Product Endpoints
1:20:17 Extracting Request Headers
1:23:07 Extracting Request Body
1:26:25 Creating Resources
1:35:52 Updating Resources
1:41:38 Deleting Resources
1:43:31 Handling Action-Based Updates
1:48:25 Exercise: Building a CRUD API
1:59:40 Spring Boot Course

#springboot #java #backend",2025-04-16T21:49:36Z,"spring boot project, spring boot crash course, spring boot 3.0, spring boot advanced, mosh hamedani, programming with mosh, code with mosh, spring boot, java, spring boot full course, spring boot tutorial, spring framework",27.0,en,en,https://i.ytimg.com/vi/EWd3_I4X32g/default.jpg,PT2H17S,142630.0,2648.0,122.0,public,,False
M5B-xBmznok,Part 2 of my Spring Boot course dropping soon!,"❤️ Join this channel to get access to perks:
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA/join

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/",2025-04-16T12:30:33Z,,27.0,en,en,https://i.ytimg.com/vi/M5B-xBmznok/default.jpg,PT45S,18684.0,665.0,10.0,public,"Hey guys, many of you have been waiting for part two of my spring boot series and I just wanted to let you know that it's coming very soon. In this part, we'll build the back end for real e-commerce application complete with authentication, role-based access control, a shopping cart and checkout system, payment processing with Stripe, and full deployment to the cloud. You'll learn how to build secure productionready APIs, and more importantly, how to organize and structure your code like a professional developer. I've put my heart and soul into creating this course to make it the most practical and comprehensive Spring Boot course out there and to help you level up your skills and confidence as a back-end developer. Stay tuned. It's launching very soon.",True
Iqz7BWePOys,How Spring Boot Can Be A Game Changer For Your Career,,2025-03-12T13:48:34Z,"what is spring boot, spring boot tutorial, spring boot, getting started with spring boot, what is spring mvc, spring vs spring boot, spring boot java, java frameworks, programming, java spring boot, introduction to spring boot, what is spring boot in java, programming with mosh, code with mosh, mosh hamedani, spring boot in 1 minute, learn spring boot, spring boot vs spring framework",27.0,en,en,https://i.ytimg.com/vi/Iqz7BWePOys/default.jpg,PT2M50S,20534.0,1925.0,19.0,public,"hey everyone msh here a few days ago I published a spring boot tutorial on this channel and some of you asked what is spring Boot and why should I learn it great questions let's start with the spring framework because to really understand spring boot you need to know where it comes from Spring is one of the most popular Frameworks for building Java applications think of it like a toolbox it's got everything you need to build scalable Enterprise grade applications and it's modular which means you can pick and choose the modules you need these modules are broadly categorized into a few different layers at the core we have modules for handling dependency injection and managing objects I know it might sound confusing but trust me I've covered this in depth in my spring boot course it's not really that complicated in the web layer we have modules for building web applications with these modules we can handle HTTP requests process data and return responses whether it's HTML for a web page or Json for an API in the data layer we have modules for working with databases whether you're using SQL no SQL or even inmemory data basis we also have a module for adding cross cutting features like logging or security without cluttering the main code this is called aop or aspect oriented programming we also have spring test for testing of spring components so a spring is amazing but it comes with a catch it requires a lot of setup for example if you want to build a web application you might need to set up a web server configure routing and manage dependencies manually this can make development slower and more complex and that's exactly why spring boot was created spring boot is a layer on top of spring that removes all the painful setup think of it like this if spring is a toolbox spring boot is a preassembled workstation instead of spending hours setting things up you can just start coding right away it comes with sensible defaults Auto configuration and embedded servers so you can go from an idea to a working application in minutes that's why spring boot is one of the most widely used Java Frameworks in the industry major companies like Netflix Amazon and Google rely on it to build scalable applications and because of that spring boot developers get paid really well according to glass store Spring boot developers earn between 160,000 and $300,000 a year which is huge if you're a Java developer learning spring boot can open up better job opportunities and higher salaries so now that you know why spring boot is so valuable the next step is learning it properly I've just uploaded the first hour of my spring boot course for free on YouTube where I walk you through the fundamentals step by step I'll put the link for you in the description box",True
v73-ps01c5w,How Spring Boot Can Be A Game Changer For Your Career,"Learn how Spring Boot simplifies Java development and why it's a must-have skill for developers!

🚀 Want to build your first Spring Boot application? Watch my tutorial here: https://youtu.be/gJrjgg1KVL4?si=iyduMaeArvy2xlJg

❤️ Join this channel to get access to perks:
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA/join

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/

#springboot #java #backend",2025-03-04T12:01:21Z,"what is spring boot, spring boot tutorial, spring boot, getting started with spring boot, what is spring mvc, spring vs spring boot, spring boot java, java frameworks, programming, java spring boot, introduction to spring boot, what is spring boot in java, programming with mosh, code with mosh, mosh hamedani, spring boot in 1 minute, learn spring boot, spring boot vs spring framework",27.0,en,en,https://i.ytimg.com/vi/v73-ps01c5w/default.jpg,PT4M5S,73741.0,1822.0,94.0,public,"hey everyone msh here a few days ago I published a spring boot tutorial on this channel and some of you asked what is spring Boot and why should I learn it great questions in this short video I'll break it down for you what spring boot is why it exists and most importantly why learning it can be a GameChanger for your [Music] career let's start with a spring framework because to really understand spring boot you need to know where it comes from Spring is one of the most popular Frameworks for building Java applications think of it like a toolbox it's got everything you need to build scalable Enterprise grade applications and it's modular which means you can pick and choose the modules you need these modules are broadly categorized into a few different layers at the core we have modules for handling dependency injection and managing objects I know it might sound confusing but trust me I've covered this in depth in my spring boot course it's not really that complicated in the web layer we have modules for building web applications with these modules we can handle HTTP requests process data and return responses whether it's HTML for a web page or Json for an API in the data layer we have modules for working with databases whether you're using SQL no SQL or even inmemory databases we also have a module for adding cross cutting features like logging or security without cluttering the main code this is called aop or aspect oriented programming we also have spring test for testing of spring components by the way the spring framework is just one part of a larger family of projects in the spring ecosystem these projects extend the capabilities of the framework to address specific needs for example we have spring data for simplifying database access Spring Security for adding authentication and authorization to your applications spring batch for batch processing spring Clow for building microservices and distributed systems spring integration for simplifying messaging and integration between systems and more so a spring is amazing but it comes with a catch it requires a lot of setup for example if you want to build a web application you might need to set up a web server configure routing and manage dependencies manually this can make development slower and more complex and that's exactly why spring boot was created spring boot is a layer on top of spring that removes all the painful setup think of it like this if spring is a toolbox spring boot is a preassembled workstation instead of spending hours setting things up you can just start coding right away it comes with sensible defaults Auto configuration and embedded servers so you can go from an idea to a working application in minutes that's why spring boot is one of the most widely used Java Frameworks in the industry major companies like Netflix Amazon and Google rely on it to build scalable applications and because of that spring boot developers get paid really well according to glass store Spring boot developers earn between $60,000 and $300,000 a year which is huge if you're a Java developer learning spring boot can open up better job opportunities and higher salaries now I know someone in the comment is already typing msh why are you talking about job opportunities haven't you heard AI is taking over coding is dead yeah sure but you know go ahead and let chat GPT build your next production system let's see how that goes so now that you know why spring boot is so valuable the next step is learning it properly I've just uploaded the first hour of my spring boot course for free on YouTube where I walk you through the fundamentals step by step I've put the link for you in the description box and by the way if you're new here make sure to subscribe because I post coding tutorials all the time that's it for this one thanks for watching and I'll see you in the next video",True
gJrjgg1KVL4,Spring Boot Tutorial for Beginners [2025],"Master Spring Boot and build amazing backends with Java! 🚀 This beginner-friendly tutorial covers everything you need to learn Spring Boot 3.

🚀 Want to dive deeper?
- Get the full course: https://mosh.link/spring-boot-fundamentals
- Subscribe for more videos like this: https://goo.gl/6PYaGF

💡 Related tutorials 
https://youtu.be/EWd3_I4X32g?si=IbbN5SMYQrQJe-ek

👉 Interested in trying IntelliJ IDEA Ultimate? https://jb.gg/intellij-idea-for-mosh
👉 JetBrains has given me a 100% discount code! Use 'Spring_with_Mosh' to enjoy IntelliJ IDEA Ultimate for 3 months completely free! Redeem it here until April 1, 2026: https://jb.gg/redeem

💡 Related tutorials 
https://youtu.be/eIrMbAQSU34?si=Uw0R6GZ4DM0sanYR
https://youtu.be/7S_tz1z_5bA?si=RvQs6awyciFtDeel

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/

📖 Table of Content
0:00:00 Welcome
0:01:12 Prerequisites
0:02:02 Course Structure
0:03:44 Source Code
0:05:01 Getting Started
0:05:48 Introduction to Spring Boot
0:08:30 Setting Up the Development Environment
0:11:55 Creating a Spring Boot Project
0:15:38 Understanding the Project Structure
0:19:37 Dependency Management
0:27:28 Building Your First Spring Controller
0:31:41 The Ultimate Spring Boot Course 
0:32:16 Running Spring Boot Applications
0:34:40 Debugging Spring Boot Applications
0:40:34 Automatic Restarts
0:44:12 Configuring Application Properties
0:46:49 Dependency Injection
0:47:48 What is Dependency Injection?
0:55:30 Constructor Injection
1:00:25 Setter Injection
1:03:05 The Spring IoC Container
1:05:58 Configuring Beans Using Annotations
1:10:59 What's Next 

#springboot #java #backend",2025-02-26T12:30:48Z,"spring boot tutorial, spring boot tutorial for begineers, spring boot, java spring tutorial, java spring boot, web development, java, spring boot full course, learn spring boot, spring boot course, code with mosh, spring boot for beginners, spring boot 3, spring boot 3.0, mosh hamedani, programming with mosh, programming, spring framework, java springboot, java backend, java web development, java spring, spring boot basics, spring boot crash course",27.0,en,en,https://i.ytimg.com/vi/gJrjgg1KVL4/default.jpg,PT1H11M22S,601738.0,10789.0,401.0,public,,False
lvg8pBJ2kFg,You asked for it. It’s finally happening!,"❤️ Join this channel to get access to perks:
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA/join

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/",2025-02-18T12:30:46Z,"spring boot tutorial, spring boot, spring boot course, spring boot tutorial for begineers, spring boot for beginners, spring boot 3, programming with mosh, code with mosh, mosh hamedani, programming, web development",27.0,en,en,https://i.ytimg.com/vi/lvg8pBJ2kFg/default.jpg,PT1M15S,34536.0,1174.0,148.0,public,"hi guys many of you have been asking me for a spring boot course and after a long wait it's finally here spring boot is the go-to framework for building modern Java applications and learning it is one of the best investments you can make in your career companies are actively hiring Springwood developers with salaries ranging from 160,000 to 300,000 per year according to glass store I know that for many developers spring boot can feel overwhelming that's why I've put together this clear structured non nonsense Cor to teach you spring boot the right way this is a two-part series and in the first part we focus on two of the most fundamental aspect of spring boot dependency injection and database integration with spring data jpa but we don't just cover the basics we go really deep touching on Concepts that most other courses either gloss over or don't cover at all this course is packed with real world exercises to help you truly understand and apply what you learn I've put my heart and soul into creating this course and I can't wait to share it with you the course is dropping soon so make sure you're subscribed and have notifications turned on so you'll be the first to know when it's live see you in the course",True
